,결정,기준금리,금리변화,kospi,kosdaq,usdkrw,call_all,call_change,actual_change,policy_surprise,bert_raise,bert_hold,bert_cut,bert_signal,q10,q50,q90,deviation,credibility,credibility_adj,credibility_grade,composite_index
2016-01-01,동결,1.5000,0.0000,1912.0600,682.8000,1201.6650,1.4890,0.0000,0.0000,0.0000,0.1286,0.7418,0.1296,-0.0036,,,,,,49.9820,MID,49.9820
2016-02-01,동결,1.5000,0.0000,1916.6600,651.6200,1219.2762,1.4881,-0.0009,0.0000,0.0009,0.1275,0.7293,0.1432,-0.0580,,,,,,49.7100,MID,49.6178
2016-03-01,동결,1.5000,0.0000,1995.8500,688.3800,1175.8435,1.4891,0.0010,0.0000,0.0010,0.1276,0.7204,0.1520,-0.0876,,,,,,49.5620,MID,49.4568
2016-04-01,동결,1.5000,0.0000,1994.1500,699.7700,1147.0571,1.4843,-0.0048,0.0000,0.0048,0.1285,0.7345,0.1370,-0.0318,,,,,,49.8410,MID,49.3461
2016-05-01,동결,1.5000,0.0000,1983.4000,698.4500,1178.6500,1.4664,-0.0179,0.0000,0.0179,0.1274,0.7009,0.1718,-0.1484,,,,,,49.2580,MID,47.4485
2016-06-01,인하,1.2500,-0.2500,1970.3500,675.0900,1162.5864,1.2314,-0.2350,-0.2500,0.0150,0.1163,0.1046,0.7791,-0.7402,,,,,,46.2990,MID,44.8755
2016-07-01,동결,1.2500,0.0000,2016.1900,706.2400,1128.4095,1.2290,-0.0023,0.0000,0.0023,0.1315,0.7109,0.1575,-0.0900,,,,,,49.5500,MID,49.3148
2016-08-01,동결,1.2500,0.0000,2034.6500,663.6900,1109.5478,1.2361,0.0070,0.0000,0.0070,0.1315,0.7173,0.1512,-0.0696,,,,,,49.6520,MID,48.9356
2016-09-01,동결,1.2500,0.0000,2043.6300,681.2100,1114.2591,1.2400,0.0039,0.0000,0.0039,0.1326,0.7334,0.1341,-0.0056,,,,,,49.9720,MID,49.5712
2016-10-01,동결,1.2500,0.0000,2008.1900,624.6800,1144.5381,1.2314,-0.0086,0.0000,0.0086,0.1318,0.6777,0.1904,-0.1818,,,,,,49.0910,MID,48.2285
2016-11-01,동결,1.2500,0.0000,1983.4800,596.1100,1173.0636,1.2164,-0.0151,0.0000,0.0151,0.1306,0.7340,0.1354,-0.0182,,,,,,49.9090,MID,48.3679
2016-12-01,동결,1.2500,0.0000,2026.4600,631.4400,1196.6318,1.2377,0.0214,0.0000,0.0214,0.1310,0.7314,0.1376,-0.0246,,,,,,49.8770,MID,47.6930
2017-01-01,동결,1.2500,0.0000,2067.5700,616.1300,1153.5591,1.2332,-0.0045,0.0000,0.0045,0.1326,0.7343,0.1331,-0.0018,,,,,,49.9910,MID,49.5252
2017-02-01,동결,1.2500,0.0000,2091.6400,612.2000,1141.5600,1.2275,-0.0057,0.0000,0.0057,0.1455,0.7189,0.1356,0.0352,,,,,,50.1760,MID,49.5917
2017-03-01,동결,1.2500,0.0000,2160.2300,619.2800,1128.7130,1.2343,0.0068,0.0000,0.0068,0.2393,0.5523,0.2084,0.0240,,,,,,50.1198,MID,49.4163
2017-04-01,동결,1.2500,0.0000,2205.4400,628.2400,1126.7100,1.2240,-0.0103,0.0000,0.0103,0.1469,0.7180,0.1350,0.0420,,,,,,50.2100,MID,49.1451
2017-05-01,동결,1.2500,0.0000,2347.3800,652.0400,1128.4652,1.2378,0.0138,0.0000,0.0138,0.1463,0.7182,0.1355,0.0382,,,,,,50.1910,MID,48.7686
2017-06-01,동결,1.2500,0.0000,2391.7900,669.0400,1134.6409,1.2391,0.0013,0.0000,0.0013,0.2393,0.5523,0.2084,0.0240,,,,,,50.1198,MID,49.9898
2017-07-01,동결,1.2500,0.0000,2402.7100,650.4700,1131.1667,1.2257,-0.0134,0.0000,0.0134,0.1470,0.7172,0.1358,0.0398,,,,,,50.1990,MID,48.8227
